Course Code,Course Name,Credits,Grade,Semester
ENG 1030,English Composition,3,A,Fall 2023
MATH 1054,College Algebra,3,B,Spring 2023
COMM 1402,Public Speaking,3,A,Fall 2023
GE 2024,Transition to Kean,3,B,Spring 2024
ENG 2403,Technical Writing,3,A,Fall 2024
HIST 1062,Worlds of History,3,B,Spring 2025
ENG 3091,Technical Writing,3,A,Fall 2025
MATH 2415,Calculus I,4,B,Spring 2024
MATH 2416,Calculus II,4,A,Fall 2025
MATH 2110,Discrete Structures,3,B,Spring 2024
MATH 2526,Applied Statistics,3,A,Fall 2027
CPS 1231,Programming I,4,A,Fall 2022
CPS 2231,Data Structures,4,B,Spring 2023
CPS 2232,Computer Organization,4,A,Fall 2023
CPS 2390,Computer Organization and Architecture,3,B,Spring 2024
CPS 3250,Computer Operating Systems,3,A,Fall 2024
CPS 3440,Analysis of Algorithms,3,B,Spring 2025
CPS 3962,Object Oriented Analysis and Design,3,A,Fall 2025
CPS 4150,Computer Architecture,3,B,Spring 2026
CPS 4222,Principles of Networking,3,A,Fall 2025
CPS 3830,Machine Learning Foundations,3,B,Spring 2025
CPS 4301,Software Engineering,3,A,Fall 2025
CPS 4951,Senior Project,3,B,Spring 2026
CPS 3330,Software Dev With Frameworks,3,A,Fall 2025
CPS 3840,Deep Learning and Applocations,3,B,Spring 2026
CPS 3500,Program World Wide Web Servers,3,A,Fall 2025
PHIL 1100,Introduction to Philosophy,3,A,Fall 2025
MATH 3415,Calculus III,3,A,Fall 2025
MATH 3700,Big Data Computing,3,B,Spring 2026
BIO 1400,General Biology II,4,A,Fall 2025
BIO 1300,General Biology I,4,B,Spring 2026
PSY 1000,General Psychology,3,A,Fall 2025
TECH 2920,Computer Systems,3,B,Spring 2026
MATH 2995,Matrix and Linear Algebra,3,A,Fall 2025
COMM 3590,Business & Prof. Communication,3,B,Spring 2026
TECH 3525,Intro to Unix/Linux,3,A,Fall 2025
TECH 3601,Multimedia Systems,3,B,Spring 2026
TECH 3498,It Computer Security,3,A,Fall 2026
